ingredient,form,prior_bio_score,current_bio_score,delta,prior_tier,current_tier,products_using_this_form,review_bucket,proposed_axis,axis_status,candidate_pmids,candidate_claim,prior_evidence_reference_status,legacy_claim_under_review,current_recalibration_reason,review_question,clinician_decision,clinician_approved_score,clinician_notes,review_status
molybdenum,sodium molybdate,12,11,-1,Excellent,Good,342,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,88-93%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
potassium,potassium chloride,12,11,-1,Excellent,Good,201,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,~90%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
potassium,potassium citrate,13,11,-2,Excellent,Good,130,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,~90-94%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
l_tyrosine,l-tyrosine powder,14,11,-3,Excellent,Good,89,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,very good (~75-90% via LNAA transporter),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
zinc,zinc amino acid chelate,12,11,-1,Excellent,Good,78,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,generic chelate; bisglycinate-class estimate,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
huperzine_a,huperzine a (unspecified),12,11,-1,Excellent,Good,64,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,~96% absolute oral bioavailability in humans (PMID 9421157),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
molybdenum,molybdenum glycinate,12,11,-1,Excellent,Good,51,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,88-93% (estimated),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
paba,paba powder,12,11,-1,Excellent,Good,42,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good (~70-80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
l_lysine,l-lysine hcl,12,11,-1,Excellent,Good,37,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,~60-80% systemic (20-40% first-pass splanchnic),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
selenium,selenium-methyl L-selenocysteine,13,11,-2,Excellent,Good,35,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"organic Se; absorption comparable to selenomethionine, retained as MeSeCys pool","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
