canonical_id,field,current,proposed,severity,reason_code,evidence,seed
5_htp,cui,C5815882,C0000578,high,resolved_to_branded_or_clinical_drug,Pre-verified seed (spec §'Existing seed findings'). UMLS exact search for '5-HTP' returns C0000578 (5-hydroxytryptophan). C5815882 is a branded Natrol combo product.,yes
coq10,cui,C1843920,C0041536,high,resolved_to_disease_or_syndrome,"Pre-verified seed (spec §'Existing seed findings'). UMLS exact search for 'Coenzyme Q10' returns C0041536 (ubidecarenone). C1843920 is the disease, not the substance.",yes
genistein,"agent2_id (in curated_interactions_v1.json, not IQM)",C0061202,,informational,previously_corrupted_in_curated_interactions_now_fixed,Pre-verified seed (spec §'Existing seed findings'). IQM genistein.cui=C0061202 verified correct. curated_interactions_v1.json DSI_LEVOTHYROXINE_SOY and DSI_OC_SOY previously had agent2_id=C0301704 (phosphatidylserine); fixed in commit 8e3e318d on 2026-05-27. Sweep should confirm no related entries still reference C0301704.,yes
5_htp,cui,C5815882,,high,resolved_to_multi_compound_or_combo_product,"Stored CUI C5815882 resolves to 'Natrol Melatonin + 5-HTP', which is a multi-compound / combo product (separator '+' splits the name into distinct substance groups). IQM entry '5-HTP' is a single compound.",
acacia_catechu,cui,C0949533,,high,no_token_overlap_with_iqm_name,Stored CUI C0949533 resolves to 'Australian bat lyssavirus' with no name tokens overlapping IQM 'Acacia Catechu' or its aliases. Likely wrong-concept hallucination.,
alpha_gpc,cui,C5762292,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5762292 resolves to 'Jarrow Formulas Alpha GPC Capsules' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Alpha GPC' is a generic substance.",
bilberry,rxcui,11155,,high,rxcui_not_found_in_rxnav,RxNav /rxcui/11155/properties.json returned no record.,
borage_seed_oil,cui,C5982013,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5982013 resolves to 'Borage Seed Oil 1300 MG Oral Capsule, Liquid Filled [Borage Oil]' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Borage Seed Oil' is a generic substance.",
branched_chain_amino_acids,cui,C0359316,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C0359316 resolves to 'Branched chain amino acids infusion' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Branched Chain Amino Acids' is a generic substance.",
cayenne_pepper,cui,C0006909,,high,no_token_overlap_with_iqm_name,Stored CUI C0006909 resolves to 'Capital' with no name tokens overlapping IQM 'Cayenne Pepper' or its aliases. Likely wrong-concept hallucination.,
citrus_bergamot,cui,C5762301,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5762301 resolves to 'Jarrow Formulas Citrus Bergamot Capsules' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Citrus Bergamot' is a generic substance.",
cla,cui,C0055856,,high,no_token_overlap_with_iqm_name,Stored CUI C0055856 resolves to 'clarithromycin' with no name tokens overlapping IQM 'CLA' or its aliases. Likely wrong-concept hallucination.,
coq10,cui,C1843920,,high,resolved_to_disease_or_syndrome,"Stored CUI C1843920 resolves to 'COENZYME Q10 DEFICIENCY' with semantic types ['Disease or Syndrome']. Disease/syndrome types ['Disease or Syndrome'] present, but IQM entry 'Coenzyme Q10' is a substance.",
cryptoxanthin,rxcui,1116063,,high,rxcui_not_found_in_rxnav,RxNav /rxcui/1116063/properties.json returned no record.,
cynarin,cui,C0056848,,high,no_token_overlap_with_iqm_name,Stored CUI C0056848 resolves to 'cynarine' with no name tokens overlapping IQM 'Cynarin' or its aliases. Likely wrong-concept hallucination.,
ecdysterones,cui,C0013495,,high,no_token_overlap_with_iqm_name,Stored CUI C0013495 resolves to 'Ecdysterone' with no name tokens overlapping IQM 'Ecdysterones' or its aliases. Likely wrong-concept hallucination.,
english_ivy,cui,C0949841,,high,no_token_overlap_with_iqm_name,Stored CUI C0949841 resolves to 'Phosphate Carriers' with no name tokens overlapping IQM 'English Ivy' or its aliases. Likely wrong-concept hallucination.,
