dsld_id,product_name,brand,v4_module,archetype,change_class,expected_reason,delta_score,old_score,new_score,old_tier,new_tier,old_score_status,new_score_status,old_safety_status,new_safety_status,old_assessment,new_assessment,old_verdict,new_verdict,old_safety_verdict,new_safety_verdict,old_blocking_reason,new_blocking_reason,old_safety_pillar,new_safety_pillar,old_dose_pillar,new_dose_pillar,old_b7,new_b7,old_module,new_module,old_dose_states,new_dose_states,new_safety_reason
1179,Ravage Fruit Punch,GNC Beyond Raw,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,3.8,44.2,48.0,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,partial,SAFE,CAUTION,SAFE,CAUTION,,,4.0,6.0,7.4,9.2,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns.
176168,Decaf Thermo Igniter 12X,GNC Pro Performance AMP,generic,generic_botanical_branded,export_safety_projection,effective safety computed once and projected to product_safety_status / verdict / blocking_reason,0.0,52.2,52.2,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,7.0,7.0,10.9,10.9,-0.0,-0.0,generic,generic,null,null,Safety concern: it contains a restricted additive and it contains additive or sweetener/form-factor concerns.
180399,Flush-free Niacin 500 mg,Nature Made,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,2.0,53.6,55.6,Poor,Weak,scored,scored,no_known_catalog_concern,caution,complete,partial,SAFE,CAUTION,SAFE,CAUTION,,,8.0,10.0,0.0,0.0,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}","No banned, recalled, or watchlisted ingredients."
182872,Super Citrimax,GNC BodyDynamix,generic,generic_botanical_branded,export_safety_projection,effective safety computed once and projected to product_safety_status / verdict / blocking_reason,0.0,47.2,47.2,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,5.5,5.5,10.9,10.9,-0.0,-0.0,generic,generic,null,null,Safety concern: it contains a restricted additive and it contains additive or sweetener/form-factor concerns.
183545,Decaf Thermo Igniter 12X,GNC AMP Advanced Muscle Performance,generic,generic_botanical_branded,export_safety_projection,effective safety computed once and projected to product_safety_status / verdict / blocking_reason,0.0,51.0,51.0,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,5.0,5.0,10.9,10.9,-0.0,-0.0,generic,generic,null,null,Safety concern: it contains a restricted additive and it contains additive or sweetener/form-factor concerns.
187598,Super CitriMax Plus,Pure Encapsulations,generic,generic_botanical_branded,export_safety_projection,effective safety computed once and projected to product_safety_status / verdict / blocking_reason,0.0,67.5,67.5,Weak,Weak,scored,scored,no_known_catalog_concern,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,10.0,10.0,10.9,10.9,-0.0,-0.0,generic,generic,null,null,"No banned, recalled, or watchlisted ingredients."
187599,Super CitriMax Plus,Pure Encapsulations,generic,generic_botanical_branded,export_safety_projection,effective safety computed once and projected to product_safety_status / verdict / blocking_reason,0.0,67.5,67.5,Weak,Weak,scored,scored,no_known_catalog_concern,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,10.0,10.0,10.9,10.9,-0.0,-0.0,generic,generic,null,null,"No banned, recalled, or watchlisted ingredients."
201051,HCActive,Jarrow Formulas,generic,generic_botanical_branded,export_safety_projection,effective safety computed once and projected to product_safety_status / verdict / blocking_reason,0.0,42.5,42.5,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,8.5,8.5,10.9,10.9,-0.0,-0.0,generic,generic,null,null,Safety concern: it contains additive or sweetener/form-factor concerns.
201426,No-Flush Niacin (Inositol Hexanicotinate) 500 mg,Solgar,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,3.0,46.1,49.1,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,partial,POOR,CAUTION,SAFE,CAUTION,,,7.0,9.0,0.0,1.0,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns.
201437,No-Flush Niacin (Inositol Hexanicotinate) 500 mg,Solgar,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,3.0,46.1,49.1,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,partial,POOR,CAUTION,SAFE,CAUTION,,,7.0,9.0,0.0,1.0,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns.
