canonical_id,field,current,proposed,severity,reason_code,evidence,seed
5_htp,cui,C5815882,C0000578,high,resolved_to_branded_or_clinical_drug,Pre-verified seed (spec §'Existing seed findings'). UMLS exact search for '5-HTP' returns C0000578 (5-hydroxytryptophan). C5815882 is a branded Natrol combo product.,yes
coq10,cui,C1843920,C0041536,high,resolved_to_disease_or_syndrome,"Pre-verified seed (spec §'Existing seed findings'). UMLS exact search for 'Coenzyme Q10' returns C0041536 (ubidecarenone). C1843920 is the disease, not the substance.",yes
genistein,"agent2_id (in curated_interactions_v1.json, not IQM)",C0061202,,informational,previously_corrupted_in_curated_interactions_now_fixed,Pre-verified seed (spec §'Existing seed findings'). IQM genistein.cui=C0061202 verified correct. curated_interactions_v1.json DSI_LEVOTHYROXINE_SOY and DSI_OC_SOY previously had agent2_id=C0301704 (phosphatidylserine); fixed in commit 8e3e318d on 2026-05-27. Sweep should confirm no related entries still reference C0301704.,yes
NHA_FLAVANOLS,cui,C2348678,,high,no_token_overlap_with_iqm_name,Stored CUI C2348678 resolves to 'Flavanol' with no name tokens overlapping IQM 'Flavanols' or its aliases. Likely wrong-concept hallucination.,
NHA_FRUIT_VEG_POWDERS,cui,C1145672,,high,no_token_overlap_with_iqm_name,Stored CUI C1145672 resolves to 'Bixa orellana (plant)' with no name tokens overlapping IQM 'Fruit & Vegetable Powders' or its aliases. Likely wrong-concept hallucination.,
NHA_GLYCOSAPONINS,cui,C0036189,,high,no_token_overlap_with_iqm_name,Stored CUI C0036189 resolves to 'Saponins' with no name tokens overlapping IQM 'Glycosaponins' or its aliases. Likely wrong-concept hallucination.,
NHA_LACTOTRIPEPTIDES,cui,C0063506,,high,no_token_overlap_with_iqm_name,Stored CUI C0063506 resolves to 'indolepropanol phosphate' with no name tokens overlapping IQM 'Lactotripeptides' or its aliases. Likely wrong-concept hallucination.,
NHA_POLYGLYCERYL_ESTER,cui,C0982350,,high,no_token_overlap_with_iqm_name,Stored CUI C0982350 resolves to 'POLYGLYCEROL ESTERS OF FATTY ACIDS' with no name tokens overlapping IQM 'Polyglyceryl Ester' or its aliases. Likely wrong-concept hallucination.,
NHA_VEGETABLE_FRUIT_JUICE_COLORS,cui,C4042943,,high,resolved_to_multi_compound_or_combo_product,"Stored CUI C4042943 resolves to 'Fruit and Vegetable Juices', which is a multi-compound / combo product (separator 'and' splits the name into distinct substance groups). IQM entry 'Vegetable and Fruit Juice Colors' is a single compound.",
OI_CORN_PROTEIN,cui,C0043458,,high,no_token_overlap_with_iqm_name,Stored CUI C0043458 resolves to 'zein' with no name tokens overlapping IQM 'Corn Protein' or its aliases. Likely wrong-concept hallucination.,
PII_BRAND_COMPLEX_DESCRIPTOR,cui,C1269100,,high,no_token_overlap_with_iqm_name,Stored CUI C1269100 resolves to 'Eosinophilic major basic protein' with no name tokens overlapping IQM 'Brand Complex Descriptor' or its aliases. Likely wrong-concept hallucination.,
PII_CANOLA_SOURCE_DESCRIPTOR,cui,C5703431,,high,no_token_overlap_with_iqm_name,Stored CUI C5703431 resolves to 'Brassica napus var. napus' with no name tokens overlapping IQM 'Canola (Source Descriptor)' or its aliases. Likely wrong-concept hallucination.,
PII_LACTOSE_MONOHYDRATE,cui,C0022951,,high,resolved_to_disease_or_syndrome,"Stored CUI C0022951 resolves to 'Lactose Intolerance' with semantic types ['Disease or Syndrome']. Disease/syndrome types ['Disease or Syndrome'] present, but IQM entry 'Lactose Monohydrate' is a substance.",
PII_MICA_COLORANT,cui,C0700319,,high,resolved_to_disease_or_syndrome,"Stored CUI C0700319 resolves to 'Mentally ill chemical abuse' with semantic types ['Mental or Behavioral Dysfunction']. Disease/syndrome types ['Mental or Behavioral Dysfunction'] present, but IQM entry 'Mica (Colorant/Coating)' is a substance.",
PII_PITUITARY_TISSUE,cui,C0032002,,high,resolved_to_disease_or_syndrome,"Stored CUI C0032002 resolves to 'Pituitary Diseases' with semantic types ['Disease or Syndrome']. Disease/syndrome types ['Disease or Syndrome'] present, but IQM entry 'Pituitary Tissue' is a substance.",
PII_POLYVINYL_ALCOHOL,rxcui,8570,,high,rxcui_not_found_in_rxnav,RxNav /rxcui/8570/properties.json returned no record.,
PII_SUNFLOWER_SOURCE_DESCRIPTOR,cui,C0018874,,high,no_token_overlap_with_iqm_name,Stored CUI C0018874 resolves to 'Helianthus' with no name tokens overlapping IQM 'Sunflower (Source Descriptor)' or its aliases. Likely wrong-concept hallucination.,
