dsld_id,product_name,brand,v4_module,archetype,change_class,expected_reason,delta_score,old_score,new_score,old_tier,new_tier,old_score_status,new_score_status,old_safety_status,new_safety_status,old_assessment,new_assessment,old_verdict,new_verdict,old_safety_verdict,new_safety_verdict,old_blocking_reason,new_blocking_reason,old_safety_pillar,new_safety_pillar,old_dose_pillar,new_dose_pillar,old_b7,new_b7,old_module,new_module,old_dose_states,new_dose_states,new_safety_reason
1179,Ravage Fruit Punch,GNC Beyond Raw,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,3.8,44.2,48.0,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,partial,SAFE,CAUTION,SAFE,CAUTION,,,4.0,6.0,7.4,9.2,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns.
180399,Flush-free Niacin 500 mg,Nature Made,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,2.0,53.6,55.6,Poor,Weak,scored,scored,no_known_catalog_concern,caution,complete,partial,SAFE,CAUTION,SAFE,CAUTION,,,8.0,10.0,0.0,0.0,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}","No banned, recalled, or watchlisted ingredients."
201426,No-Flush Niacin (Inositol Hexanicotinate) 500 mg,Solgar,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,3.0,46.1,49.1,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,partial,POOR,CAUTION,SAFE,CAUTION,,,7.0,9.0,0.0,1.0,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns.
201437,No-Flush Niacin (Inositol Hexanicotinate) 500 mg,Solgar,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,3.0,46.1,49.1,Poor,Poor,scored,scored,no_known_catalog_concern,caution,complete,partial,POOR,CAUTION,SAFE,CAUTION,,,7.0,9.0,0.0,1.0,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns.
211339,Re-Built Mass XP Chocolate,GNC Beyond Raw,fiber_digestive,fiber_digestive,universal_b7_confirmed,"confirmed over-UL exposure now scored on fiber_digestive, a route that previously had no B7 path",-3.6,65.3,61.7,Weak,Weak,scored,scored,caution,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,6.0,4.0,16.0,14.4,,-2.0,fiber_digestive,fiber_digestive,null,"{""confirmed_over_threshold"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns and one or more supplemental amounts exceed an established upper limit.
211387,Flush-Free Niacin 500 mg,Nature Made,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,2.0,53.6,55.6,Poor,Weak,scored,scored,no_known_catalog_concern,caution,complete,partial,SAFE,CAUTION,SAFE,CAUTION,,,8.0,10.0,0.0,0.0,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}","No banned, recalled, or watchlisted ingredients."
214151,Chelated Magnesium Calcium 2:1,Solgar,fiber_digestive,fiber_digestive,universal_b7_confirmed,"confirmed over-UL exposure now scored on fiber_digestive, a route that previously had no B7 path",-3.6,66.9,63.3,Weak,Weak,scored,scored,caution,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,7.0,5.0,7.2,5.6,,-2.0,fiber_digestive,fiber_digestive,null,"{""confirmed_over_threshold"": 1}",Safety concern: it contains a restricted additive and it contains additive or sweetener/form-factor concerns and one or more supplemental amounts exceed an established upper limit.
220238,Re-Built Mass XP Strawberry,GNC Beyond Raw,sports,sports_single,universal_b7_confirmed,"confirmed over-UL exposure now scored on sports, a route that previously had no B7 path",-1.4,58.8,57.4,Weak,Weak,scored,scored,caution,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,6.0,4.0,16.8,15.2,,-2.0,sports,sports,null,"{""confirmed_over_threshold"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns and one or more supplemental amounts exceed an established upper limit.
244298,Re-Built Mass XP Strawberry,GNC Beyond Raw,sports,sports_single,universal_b7_confirmed,"confirmed over-UL exposure now scored on sports, a route that previously had no B7 path",-1.4,62.7,61.3,Weak,Weak,scored,scored,caution,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,6.0,4.0,16.8,15.2,,-2.0,sports,sports,null,"{""confirmed_over_threshold"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns and one or more supplemental amounts exceed an established upper limit.
273823,Perfect Cleanse Remove,Garden of Life,fiber_digestive,fiber_digestive,universal_b7_confirmed,"confirmed over-UL exposure now scored on fiber_digestive, a route that previously had no B7 path",-3.6,57.0,53.4,Weak,Poor,scored,scored,caution,caution,complete,complete,CAUTION,CAUTION,CAUTION,CAUTION,,,10.0,8.0,7.2,5.6,,-2.0,fiber_digestive,fiber_digestive,null,"{""confirmed_over_threshold"": 1}",Safety concern: one or more supplemental amounts exceed an established upper limit.
302650,Comprehensive Prostate Formula,Doctor's Best,multi_or_prenatal,prenatal_multi,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,3.8,58.7,62.5,Weak,Weak,scored,scored,no_known_catalog_concern,caution,complete,partial,SAFE,CAUTION,SAFE,CAUTION,,,4.0,6.0,9.1,10.9,-2.0,-0.0,multi_or_prenatal,multi_or_prenatal,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns.
315691,Potassium Iodide Tablets 130 mg,Double Wood Supplements,generic,generic_single_molecule,unresolved_no_deduction,unresolved exposure no longer takes an unproven harm deduction; assessment marked partial/review,2.0,57.0,59.0,Weak,Weak,scored,scored,caution,caution,complete,partial,CAUTION,CAUTION,CAUTION,CAUTION,,,6.0,8.0,0.0,0.0,-2.0,-0.0,generic,generic,"{""material_but_unresolved"": 1}","{""material_but_unresolved"": 1}",Safety concern: it contains additive or sweetener/form-factor concerns.
